iter	Passed	Remaining
0	27	139144
1	53	134440
2	77	128972
3	101	127344
4	126	126476
5	150	125525
6	177	126317
7	205	128116
8	232	128977
9	259	129435
10	283	128549
11	309	128491
12	334	128193
13	359	127968
14	386	128446
15	411	128224
16	437	128305
17	464	128601
18	489	128374
19	517	128839
20	543	128937
21	556	125975
22	582	126121
23	606	125779
24	633	126109
25	659	126148
26	687	126540
27	711	126259
28	737	126443
29	761	126102
30	785	125911
31	809	125734
32	834	125658
33	860	125630
34	888	126001
35	914	126071
36	937	125731
37	964	125908
38	988	125715
39	1014	125739
40	1038	125612
41	1065	125808
42	1090	125675
43	1114	125570
44	1139	125431
45	1168	125798
46	1193	125751
47	1218	125759
48	1245	125870
49	1271	125835
50	1297	125924
51	1322	125876
52	1350	126012
53	1374	125893
54	1399	125801
55	1426	125937
56	1451	125854
57	1476	125828
58	1501	125716
59	1528	125836
60	1553	125776
61	1580	125845
62	1604	125752
63	1631	125795
64	1657	125851
65	1682	125743
66	1707	125742
67	1731	125590
68	1756	125514
69	1781	125461
70	1806	125396
71	1830	125279
72	1856	125308
73	1881	125277
74	1906	125201
75	1930	125081
76	1957	125162
77	1982	125074
78	2009	125173
79	2034	125136
80	2061	125177
81	2085	125056
82	2110	124998
83	2134	124903
84	2160	124907
85	2185	124850
86	2210	124843
87	2237	124909
88	2261	124806
89	2288	124843
90	2314	124831
91	2339	124813
92	2365	124826
93	2392	124860
94	2418	124871
95	2444	124872
96	2471	124919
97	2495	124847
98	2520	124774
99	2544	124704
100	2572	124783
101	2595	124656
102	2622	124694
103	2648	124703
104	2675	124733
105	2701	124746
106	2726	124699
107	2754	124768
108	2779	124705
109	2806	124763
110	2831	124714
111	2855	124639
112	2881	124623
113	2906	124554
114	2930	124484
115	2956	124484
116	2983	124518
117	3009	124497
118	3034	124452
119	3059	124399
120	3083	124334
121	3107	124246
122	3134	124269
123	3161	124305
124	3187	124317
125	3214	124336
126	3237	124242
127	3262	124181
128	3288	124188
129	3315	124220
130	3339	124110
131	3364	124079
132	3388	123990
133	3412	123930
134	3437	123867
135	3460	123759
136	3486	123752
137	3512	123763
138	3537	123707
139	3565	123756
140	3590	123735
141	3618	123778
142	3642	123714
143	3668	123702
144	3692	123644
145	3719	123663
146	3744	123615
147	3769	123593
148	3794	123542
149	3819	123487
150	3844	123441
151	3867	123352
152	3893	123353
153	3917	123260
154	3942	123234
155	3967	123208
156	3993	123190
157	4017	123117
158	4044	123152
159	4071	123152
160	4079	122619
161	4104	122584
162	4129	122546
163	4154	122493
164	4181	122519
165	4205	122456
166	4231	122454
167	4257	122449
168	4281	122378
169	4307	122377
170	4332	122354
171	4359	122375
172	4382	122291
173	4409	122290
174	4436	122319
175	4464	122362
176	4491	122376
177	4514	122297
178	4539	122254
179	4563	122199
180	4588	122170
181	4612	122094
182	4636	122044
183	4661	122008
184	4686	121988
185	4713	121989
186	4738	121970
187	4762	121910
188	4788	121902
189	4812	121839
190	4838	121834
191	4864	121805
192	4889	121776
193	4913	121715
194	4937	121664
195	4961	121606
196	4986	121571
197	5010	121526
198	5038	121546
199	5061	121468
200	5087	121467
201	5113	121463
202	5139	121438
203	5163	121389
204	5188	121353
205	5212	121315
206	5238	121299
207	5264	121288
208	5289	121243
209	5313	121202
210	5337	121136
211	5363	121132
212	5388	121113
213	5414	121091
214	5437	121024
215	5464	121031
216	5487	120960
217	5515	120983
218	5540	120959
219	5566	120947
220	5590	120897
221	5616	120879
222	5639	120802
223	5664	120784
224	5690	120760
225	5715	120737
226	5739	120677
227	5764	120652
228	5788	120597
229	5814	120578
230	5839	120555
231	5864	120532
232	5887	120459
233	5914	120464
234	5937	120402
235	5964	120392
236	5988	120356
237	6013	120315
238	6036	120256
239	6062	120237
240	6087	120215
241	6115	120245
242	6140	120204
243	6166	120193
244	6190	120154
245	6215	120110
246	6241	120109
247	6268	120104
248	6296	120135
249	6321	120117
250	6347	120089
251	6373	120088
252	6398	120047
253	6422	120013
254	6447	119972
255	6472	119948
256	6496	119895
257	6522	119877
258	6546	119834
259	6571	119812
260	6597	119789
261	6625	119812
262	6649	119765
263	6674	119735
264	6698	119682
265	6723	119665
266	6747	119605
267	6772	119584
268	6798	119564
269	6825	119573
270	6849	119526
271	6874	119495
272	6900	119489
273	6926	119477
274	6952	119451
275	6976	119404
276	7000	119369
277	7025	119332
278	7052	119333
279	7076	119291
280	7103	119295
281	7127	119243
282	7154	119252
283	7178	119209
284	7205	119210
285	7230	119181
286	7257	119179
287	7282	119153
288	7307	119115
289	7335	119134
290	7361	119119
291	7386	119093
292	7410	119043
293	7436	119031
294	7460	118995
295	7486	118978
296	7512	118962
297	7536	118922
298	7562	118895
299	7587	118866
300	7612	118835
301	7637	118809
302	7662	118773
303	7688	118761
304	7714	118755
305	7738	118706
306	7763	118681
307	7787	118637
308	7814	118635
309	7838	118595
310	7864	118568
311	7888	118526
312	7913	118506
313	7938	118465
314	7964	118450
315	7988	118412
316	8014	118402
317	8042	118405
318	8066	118369
319	8092	118349
320	8119	118346
321	8145	118341
322	8174	118367
323	8204	118404
324	8234	118451
325	8263	118473
326	8287	118439
327	8314	118437
328	8340	118412
329	8367	118411
330	8392	118388
331	8418	118368
332	8444	118349
333	8468	118304
334	8495	118303
335	8519	118260
336	8546	118254
337	8572	118234
338	8597	118215
339	8623	118187
340	8647	118144
341	8674	118142
342	8698	118108
343	8726	118107
344	8749	118058
345	8774	118026
346	8799	117991
347	8824	117965
348	8848	117916
349	8874	117907
350	8900	117891
351	8930	117920
352	8958	117932
353	8987	117954
354	9017	117992
355	9045	118001
356	9072	117993
357	9098	117973
358	9124	117955
359	9149	117922
360	9175	117908
361	9202	117902
362	9228	117884
363	9255	117884
364	9280	117850
365	9307	117844
366	9332	117813
367	9359	117803
368	9385	117791
369	9411	117777
370	9436	117745
371	9461	117711
372	9487	117689
373	9512	117654
374	9538	117644
375	9564	117624
376	9591	117621
377	9617	117603
378	9645	117607
379	9674	117623
380	9706	117672
381	9733	117665
382	9757	117620
383	9784	117620
384	9808	117573
385	9833	117539
386	9858	117516
387	9884	117487
388	9909	117456
389	9934	117433
390	9961	117418
391	9986	117393
392	10012	117370
393	10040	117372
394	10068	117375
395	10091	117330
396	10117	117304
397	10142	117276
398	10148	117029
399	10173	116996
400	10198	116965
401	10223	116931
402	10250	116922
403	10274	116890
404	10300	116866
405	10324	116820
406	10349	116792
407	10374	116761
408	10399	116729
409	10423	116688
410	10447	116651
411	10472	116618
412	10497	116587
413	10523	116573
414	10550	116567
415	10574	116522
416	10599	116496
417	10625	116478
418	10651	116456
419	10676	116425
420	10701	116393
421	10726	116368
422	10750	116326
423	10773	116269
424	10798	116247
425	10824	116225
426	10849	116191
427	10873	116150
428	10896	116103
429	10923	116098
430	10948	116059
431	10972	116020
432	10996	115984
433	11022	115962
434	11047	115938
435	11072	115910
436	11099	115895
437	11124	115862
438	11148	115826
439	11174	115813
440	11198	115767
441	11224	115752
442	11249	115718
443	11273	115681
444	11298	115646
445	11323	115618
446	11336	115474
447	11362	115451
448	11389	115442
449	11414	115412
450	11439	115383
451	11462	115336
452	11487	115309
453	11511	115265
